date,scheduled,first_seen,last_seen,last_state,outcome,physically_confirmed
2026-09-11,2026-09-11T15:30:00,2026-09-11T15:26:24+02:00,2026-09-11T15:26:24+02:00,EXPECTED,VANISHED,False
2026-09-11,2026-09-11T15:45:00,2026-09-11T15:26:24+02:00,2026-09-11T15:46:57+02:00,EXPECTED,RAN_ON_TIME,False
2026-09-11,2026-09-11T16:00:00,2026-09-11T15:26:24+02:00,2026-09-11T16:01:15+02:00,ATSTOP,RAN_ON_TIME,True
2026-09-11,2026-09-11T16:15:00,2026-09-11T15:36:46+02:00,2026-09-11T16:15:07+02:00,ATSTOP,RAN_ON_TIME,True
2026-09-11,2026-09-11T16:25:00,2026-09-11T15:55:09+02:00,2026-09-11T16:15:07+02:00,EXPECTED,VANISHED,False
2026-09-11,2026-09-11T16:35:00,2026-09-11T16:15:07+02:00,2026-09-11T16:15:07+02:00,EXPECTED,VANISHED,False
2026-09-11,2026-09-11T16:45:00,2026-09-11T16:39:01+02:00,2026-09-11T16:39:01+02:00,EXPECTED,VANISHED,False
2026-09-11,2026-09-11T16:55:00,2026-09-11T16:39:01+02:00,2026-09-11T16:56:47+02:00,EXPECTED,RAN_ON_TIME,False
2026-09-11,2026-09-11T17:05:00,2026-09-11T16:39:01+02:00,2026-09-11T17:04:16+02:00,EXPECTED,RAN_ON_TIME,False
2026-09-11,2026-09-11T17:15:00,2026-09-11T16:48:28+02:00,2026-09-11T17:04:16+02:00,EXPECTED,VANISHED,False
2026-09-11,2026-09-11T17:30:00,2026-09-11T17:04:16+02:00,2026-09-11T17:29:12+02:00,ATSTOP,RAN_ON_TIME,True
2026-09-11,2026-09-11T17:45:00,2026-09-11T17:17:48+02:00,2026-09-11T17:40:15+02:00,EXPECTED,PENDING,False
2026-09-11,2026-09-11T18:00:00,2026-09-11T17:17:48+02:00,2026-09-11T17:40:15+02:00,EXPECTED,PENDING,False
2026-09-11,2026-09-11T18:15:00,2026-09-11T17:40:15+02:00,2026-09-11T17:40:15+02:00,EXPECTED,PENDING,False
