poll_time,scheduled,expected,state,destination,journey_state,journey_id
2026-09-17T05:48:38+02:00,2026-09-17T06:09:57,2026-09-17T06:09:57,EXPECTED,Sergels torg,EXPECTED,2026091700001
2026-09-17T05:48:38+02:00,2026-09-17T06:24:57,2026-09-17T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026091700002
2026-09-17T05:48:38+02:00,2026-09-17T06:37:57,2026-09-17T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091700003
2026-09-17T05:56:40+02:00,2026-09-17T06:09:57,2026-09-17T06:09:57,EXPECTED,Sergels torg,EXPECTED,2026091700001
2026-09-17T05:56:40+02:00,2026-09-17T06:24:57,2026-09-17T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026091700002
2026-09-17T05:56:40+02:00,2026-09-17T06:37:57,2026-09-17T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091700003
2026-09-17T06:04:41+02:00,2026-09-17T06:09:57,2026-09-17T06:11:14,EXPECTED,Sergels torg,NORMALPROGRESS,2026091700001
2026-09-17T06:04:41+02:00,2026-09-17T06:24:57,2026-09-17T06:24:57,EXPECTED,Sergels torg,EXPECTED,2026091700002
2026-09-17T06:04:41+02:00,2026-09-17T06:37:57,2026-09-17T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091700003
2026-09-17T06:19:24+02:00,2026-09-17T06:24:57,2026-09-17T06:26:17,EXPECTED,Sergels torg,NORMALPROGRESS,2026091700002
2026-09-17T06:19:24+02:00,2026-09-17T06:37:57,2026-09-17T06:37:57,EXPECTED,Sergels torg,EXPECTED,2026091700003
2026-09-17T06:19:24+02:00,2026-09-17T06:49:06,2026-09-17T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026091700004
2026-09-17T06:31:46+02:00,2026-09-17T06:37:57,2026-09-17T06:39:18,EXPECTED,Sergels torg,NORMALPROGRESS,2026091700003
2026-09-17T06:31:46+02:00,2026-09-17T06:49:06,2026-09-17T06:49:06,EXPECTED,Sergels torg,EXPECTED,2026091700004
2026-09-17T06:31:46+02:00,2026-09-17T06:59:06,2026-09-17T06:59:06,EXPECTED,Sergels torg,EXPECTED,2026091700005
2026-09-17T06:43:33+02:00,2026-09-17T06:49:06,2026-09-17T06:50:43,EXPECTED,Sergels torg,NORMALPROGRESS,2026091700004
2026-09-17T06:43:33+02:00,2026-09-17T06:59:06,2026-09-17T06:59:06,EXPECTED,Sergels torg,EXPECTED,2026091700005
