date,scheduled,first_seen,last_seen,last_state,outcome,physically_confirmed
2026-09-11,2026-09-11T06:09:57,2026-09-11T05:46:39+02:00,2026-09-11T06:12:55+02:00,EXPECTED,RAN_ON_TIME,False
2026-09-11,2026-09-11T06:24:57,2026-09-11T05:46:39+02:00,2026-09-11T06:26:01+02:00,EXPECTED,RAN_ON_TIME,False
2026-09-11,2026-09-11T06:37:57,2026-09-11T05:46:39+02:00,2026-09-11T06:36:41+02:00,EXPECTED,VANISHED,False
2026-09-11,2026-09-11T06:49:06,2026-09-11T06:26:01+02:00,2026-09-11T06:46:32+02:00,EXPECTED,VANISHED,False
2026-09-11,2026-09-11T06:59:06,2026-09-11T06:36:41+02:00,2026-09-11T07:00:32+02:00,EXPECTED,RAN_ON_TIME,False
2026-09-11,2026-09-11T07:09:15,2026-09-11T06:46:32+02:00,2026-09-11T07:00:32+02:00,EXPECTED,VANISHED,False
2026-09-11,2026-09-11T07:19:15,2026-09-11T06:54:29+02:00,2026-09-11T07:11:37+02:00,EXPECTED,VANISHED,False
2026-09-11,2026-09-11T07:29:24,2026-09-11T07:11:37+02:00,2026-09-11T07:22:38+02:00,EXPECTED,VANISHED,False
2026-09-11,2026-09-11T07:40:33,2026-09-11T07:11:37+02:00,2026-09-11T07:32:49+02:00,EXPECTED,VANISHED,False
2026-09-11,2026-09-11T07:50:33,2026-09-11T07:22:38+02:00,2026-09-11T07:52:13+02:00,EXPECTED,RAN_DELAYED_4min,False
2026-09-11,2026-09-11T08:01:24,2026-09-11T07:32:49+02:00,2026-09-11T07:52:13+02:00,EXPECTED,VANISHED,False
2026-09-11,2026-09-11T08:09:24,2026-09-11T07:43:46+02:00,2026-09-11T08:09:24+02:00,EXPECTED,UNCERTAIN_WINDOW_ENDED,False
2026-09-11,2026-09-11T08:19:15,2026-09-11T08:09:24+02:00,2026-09-11T08:09:24+02:00,EXPECTED,PENDING,False
2026-09-11,2026-09-11T08:29:15,2026-09-11T08:09:24+02:00,2026-09-11T08:09:24+02:00,EXPECTED,PENDING,False
