date,scheduled,first_seen,last_seen,last_state,outcome
2026-09-07,2026-09-07T16:15:00,2026-09-07T16:05:44+02:00,2026-09-07T16:05:44+02:00,EXPECTED,VANISHED
2026-09-07,2026-09-07T16:25:00,2026-09-07T16:05:44+02:00,2026-09-07T16:25:04+02:00,EXPECTED,RAN_ON_TIME
2026-09-07,2026-09-07T16:35:00,2026-09-07T16:05:44+02:00,2026-09-07T16:25:04+02:00,EXPECTED,VANISHED
2026-09-07,2026-09-07T16:45:00,2026-09-07T16:25:04+02:00,2026-09-07T16:42:56+02:00,EXPECTED,RAN_ON_TIME
2026-09-07,2026-09-07T16:55:00,2026-09-07T16:42:56+02:00,2026-09-07T16:42:56+02:00,EXPECTED,VANISHED
2026-09-07,2026-09-07T17:05:00,2026-09-07T16:42:56+02:00,2026-09-07T16:57:44+02:00,EXPECTED,VANISHED
2026-09-07,2026-09-07T17:15:00,2026-09-07T16:57:44+02:00,2026-09-07T16:57:44+02:00,EXPECTED,VANISHED
2026-09-07,2026-09-07T17:30:00,2026-09-07T16:57:44+02:00,2026-09-07T17:17:53+02:00,EXPECTED,VANISHED
2026-09-07,2026-09-07T17:45:00,2026-09-07T17:17:53+02:00,2026-09-07T17:34:38+02:00,EXPECTED,VANISHED
2026-09-07,2026-09-07T18:00:00,2026-09-07T17:17:53+02:00,2026-09-07T17:50:35+02:00,EXPECTED,VANISHED
2026-09-07,2026-09-07T18:15:00,2026-09-07T17:34:38+02:00,2026-09-07T18:03:46+02:00,EXPECTED,PENDING
2026-09-07,2026-09-07T18:30:00,2026-09-07T17:50:35+02:00,2026-09-07T18:03:46+02:00,EXPECTED,PENDING
2026-09-09,2026-09-09T16:00:00,2026-09-09T15:51:34+02:00,2026-09-09T15:51:34+02:00,EXPECTED,VANISHED
2026-09-09,2026-09-09T16:15:00,2026-09-09T15:51:34+02:00,2026-09-09T16:06:51+02:00,EXPECTED,VANISHED
2026-09-09,2026-09-09T16:25:00,2026-09-09T15:51:34+02:00,2026-09-09T16:26:35+02:00,EXPECTED,RAN_ON_TIME
2026-09-09,2026-09-09T16:35:00,2026-09-09T16:06:51+02:00,2026-09-09T16:26:35+02:00,EXPECTED,VANISHED
2026-09-09,2026-09-09T16:45:00,2026-09-09T16:26:35+02:00,2026-09-09T16:46:35+02:00,CANCELLED,CANCELLED
2026-09-09,2026-09-09T16:55:00,2026-09-09T16:46:35+02:00,2026-09-09T16:59:22+02:00,CANCELLED,CANCELLED
2026-09-09,2026-09-09T17:05:00,2026-09-09T16:46:35+02:00,2026-09-09T16:59:22+02:00,CANCELLED,CANCELLED
2026-09-09,2026-09-09T17:15:00,2026-09-09T16:59:22+02:00,2026-09-09T17:19:56+02:00,CANCELLED,CANCELLED
2026-09-09,2026-09-09T17:30:00,2026-09-09T17:19:56+02:00,2026-09-09T17:19:56+02:00,CANCELLED,CANCELLED
2026-09-09,2026-09-09T17:45:00,2026-09-09T17:19:56+02:00,2026-09-09T17:38:41+02:00,CANCELLED,CANCELLED
2026-09-09,2026-09-09T18:00:00,2026-09-09T17:38:41+02:00,2026-09-09T17:53:12+02:00,CANCELLED,CANCELLED
2026-09-09,2026-09-09T18:15:00,2026-09-09T17:38:41+02:00,2026-09-09T18:10:51+02:00,CANCELLED,CANCELLED
2026-09-09,2026-09-09T18:30:00,2026-09-09T17:53:12+02:00,2026-09-09T18:10:51+02:00,CANCELLED,CANCELLED
2026-09-10,2026-09-10T16:00:00,2026-09-10T15:52:43+02:00,2026-09-10T15:59:35+02:00,ATSTOP,RAN_ON_TIME
2026-09-10,2026-09-10T16:15:00,2026-09-10T15:52:43+02:00,2026-09-10T16:12:12+02:00,EXPECTED,VANISHED
2026-09-10,2026-09-10T16:25:00,2026-09-10T15:52:43+02:00,2026-09-10T16:25:58+02:00,EXPECTED,RAN_ON_TIME
2026-09-10,2026-09-10T16:35:00,2026-09-10T16:12:12+02:00,2026-09-10T16:38:51+02:00,ATSTOP,RAN_ON_TIME
2026-09-10,2026-09-10T16:45:00,2026-09-10T16:25:58+02:00,2026-09-10T16:38:51+02:00,EXPECTED,PENDING
2026-09-10,2026-09-10T16:55:00,2026-09-10T16:38:51+02:00,2026-09-10T16:38:51+02:00,EXPECTED,PENDING
